# Constructed from biom file
#OTU ID	E2_T3_y2014_seqrunA	E5_T3_y2014_seqrunA	E7_T3_y2014_seqrunA	E9_T3_y2014_seqrunA	F10_T3_y2014_seqrunA	F2_T3_y2014_seqrunA	F3_T3_y2014_seqrunA	F4_T3_y2014_seqrunA
74056c3714c9054b3bd62bbb066a6078	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
692d79d5416314c4ae89a04f14736249	3.0	4.0	13.0	50.0	0.0	2.0	1.0	0.0
fd16a2f77baf4bbb56637fe2951fdfd2	3.0	0.0	6.0	1.0	0.0	0.0	0.0	0.0
aa8b8dc74bd290616344c8041184de2f	0.0	0.0	8.0	7.0	0.0	0.0	0.0	0.0
9d7e5dae6ed557e690d67de8a1b66937	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0
9430705ed00f36f380dd3391c3f4a6b8	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
05bfc1777e92b743506b161e3dbae66a	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6ca36bb54a775b412307e22bc2503b4a	0.0	0.0	4.0	9.0	0.0	1.0	0.0	0.0
99a2f14a52ebf17f112cbcfe41cc8748	0.0	0.0	0.0	0.0	6.0	4.0	2.0	0.0
b47ba2493e85337b266180f93d17a728	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0
eab61fce4edb5bc64528fcc9d95f1043	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6833d788c9f7fa9de45e0840be9ef38d	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
44ffb3b97ba057b9e66b6565e75a1001	0.0	0.0	0.0	0.0	0.0	2.0	0.0	6.0
e19409d47b734149e5cde317cb585e75	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0
ded00e240facfac4a1afc55bc03b2a46	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0
bfd9cc38c422f525998072a1164d543a	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
63d623026cf9d03654083a9dd86a5e39	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
2427c20d6a22738463fa7f207d9a2009	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0
847f73286f086d05233731f6d30a3710	9.0	4.0	7.0	4.0	0.0	0.0	0.0	0.0
8f889d79ea25ec58fa0b74cda902a3c3	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0
b5bbf48b48ac2cf35cf481b86d3f03aa	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
eb0854f70c8990d1693298fe4de7bc42	0.0	0.0	7.0	4.0	0.0	0.0	0.0	0.0
e48a6fb20346943c4f53e88e4af35b1e	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
4011de7b7b3006c1fbabff05e8a4f3cb	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0
ad9d0ba01d910be24527867e5aae6134	7.0	50.0	2.0	3.0	15.0	46.0	66.0	63.0
8ab606959ccfdb1ee894674fef435bc3	5.0	28.0	35.0	46.0	3.0	3.0	1.0	0.0
e26a237119494044acb1d7c3a29d9894	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
b92150ec5976921baa0f0de2bf076c42	3.0	4.0	0.0	1.0	0.0	2.0	1.0	1.0
667b41ef4dae309b2ad345e248aa6589	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
131fbb8932c5d40478f5d02c7199b18b	59.0	46.0	6.0	8.0	7.0	3.0	3.0	1.0
