# Constructed from biom file
#OTU ID	F1_T3_y2016_seqrunA	F10_T3_y2016_seqrunA	F2_T3_y2016_seqrunA	F3_T3_y2016_seqrunA	F4_T3_y2016_seqrunA	F5_T3_y2016_seqrunA	F6_T3_y2016_seqrunA	F7_T3_y2016_seqrunA	F8_T3_y2016_seqrunA	F9_T3_y2016_seqrunA	S1_T3_y2016_seqrunA	S10_T3_y2016_seqrunA	S3_T3_y2016_seqrunA	S4_T3_y2016_seqrunA	S5_T3_y2016_seqrunA	S6_T3_y2016_seqrunA	S7_T3_y2016_seqrunA	S8_T3_y2016_seqrunA	S9_T3_y2016_seqrunA
e8a43a5f30973abe6c52b7866a374394	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6eca407f611fa5fa148bf82e7b721d6a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
1b40e90f295f688be69c8c6012d450da	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71ebac5d0a944b5ef27c7cd5495b45fd	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
e00bbfb137b1f0a8c1227946cc51ee7d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20690bef4930833ca0be0bc78c361215	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
13fab874eac45016d344f3cdcbc1e593	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
68d601ac6230389e70fa19373b558e17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
090256a7ff9347d747d937adbf1c76a1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
eda29130ecdb3bf6c7f2ed5213c8e589	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
